"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"1900 - 1999","chronological term","016431537","Monograph","Language material ; Text","Volume","","","9783828828636","Stehle, Julia","","person","","Stehle, Julia [person]","Moderne Literatur und die Philosophie des Mittelalters : Joyce, Beckett, Andersch : mit einer Einführung in die Mittelalterrezeption","","","","Germany","Marburg","Tectum","2012","","x, 248 pages, 21 cm","","YF.2015.a.19739","Criticsm and interpretation","German","Additional physical form: 9783828855090",""
"1900-1999","chronological term","018120810","Monograph","Language material ; Text","Volume","","","9788843078264","Terrinoni, Enrico","1976-","person","author","Terrinoni, Enrico, 1976-, author [person]","James Joyce e la fine del romanzo","","Frecce","213 [Frecce]","Italy","Roma","Carocci","2015","1st edizione","175 pages, 23 cm","823","YF.2017.a.655","Criticsm and interpretation","Italian","",""
"1900-1999","chronological term","019020225","Monograph","Language material ; Text","Volume","","","9780967955797 ; 9781460008843","Murphy, Michael","1932-","person","author","Murphy, Michael, 1932-, author [person]","Ulysses in West Britain : James Joyce's Dublin & Dubliners","James Joyce's Dublin & Dubliners","","","United States of America","Brooklyn, New York","Conal & Gavin","2018","","235 pages, illustrations, map, 23 cm","823.912","YD.2018.a.3453","Criticsm and interpretation","English","",""
"1914-1939","chronological term","017943101","Monograph","Language material ; Text","Sheet","","","9788073085391","Armand, Louis","1972-","person","author","Armand, Louis, 1972-, author [person]","Helixtrolysis : cyberology & the joycean 'tyrondynamon machine'","","Litteraria Pragensia","","Czech Republic","Prague","Univerzita Karlova v Praze, Filozofická fakulta","2014","1st edition","256 pages, black and white illustrations, 18 cm","","YD.2016.a.2994","","English","",""
"20. stol","chronological term","017943101","Monograph","Language material ; Text","Sheet","","","9788073085391","Armand, Louis","1972-","person","author","Armand, Louis, 1972-, author [person]","Helixtrolysis : cyberology & the joycean 'tyrondynamon machine'","","Litteraria Pragensia","","Czech Republic","Prague","Univerzita Karlova v Praze, Filozofická fakulta","2014","1st edition","256 pages, black and white illustrations, 18 cm","","YD.2016.a.2994","","English","",""
"Achebe, Chinua--Political and social views","person","012617689","Monograph","Language material ; Text","Volume","GBA300060","","9780415936910","Daniels, Patsy J.","1944-","person","","Daniels, Patsy J., 1944- [person]","The voice of the oppressed in the language of the oppressor : a discussion of selected postcolonial literature from Ireland, Africa, and America","","Literary criticism and cultural theory","","England ; United States of America","London ; New York","Routledge","2001","","ix, 190 pages, 24 cm","810.9920693","YC.2002.a.22304","","English","",""
"Adorno, Theodor W, 1903-1969","person","006750069","Monograph","Language material ; Text","Volume","","","9783476012920","Sonnemann, Ulrich","","person","","Sonnemann, Ulrich [person] ; Fiebig, Paul, 1942- [person]","Müllberge des Vergessens : elf Einsprüche","","","","Germany","Stuttgart","J B Metzler","1995","","volumes, 140 pages, 22 cm","","YA.2000.a.11649","","German","",""
"Adorno, Theodor W, 1903-1969","person","008175244","Monograph","Language material ; Text","Volume","","","9783884760178","Lücke, Peter","","person","","Lücke, Peter [person]","Der imaginierte Mythos, Joyce-Adorno : ein Beitrag zu Theorie und Praxis mythischen Denkens in der Moderne","","Horizonte","Band 8 [Horizonte]","Germany","Trier","Wissenschaftlicher Verlag Trier","1992","","131 pages, 21 cm","","YA.1995.a.29523","","German","Originally presented as the author's thesis (doctoral) --Universität Bochum, 1991",""
"Adultery in literature","general term","014904720","Monograph","Language material ; Text","Volume","","","9788840007878","Caponi, Paolo","","person","","Università di Milano, Dipartimento di scienze del linguaggio e letterature straniere comparate [organisation] ; Caponi, Paolo [person]","Adultery in the high canon : forms of infidelity in Joyce, Beckett and Pinter","","Biblioteca di anglistica","9 [Biblioteca di anglistica]","Italy","Milano","Unicopli","2002","1st edition","141 pages, illustrations, 22 cm","822.91093552","ZA.9.a.3325 (9)","","English","'This book is a result of a three-year doctorate at the Università Cá Foscari of Venice.'--Acknowledgements ; 'volume pubblicato con illustrations contributo deel Dipartimento di scienze deel linguaggio e letterature comparate dell'Università degli Studi di Milano.'--T.p. verso",""
"Adultery in literature","general term","015634236","Monograph","Language material ; Text","Volume","GBB0A0910","","9780230105126","Utell, Janine","1975-","person","","Utell, Janine, 1975- [person]","James Joyce and the revolt of love : marriage, adultery, desire","","New directions in Irish and Irish American literature","","United States of America","New York","Palgrave Macmillan","2010","1st edition","x, 177 pages, 22 cm","823.912","YC.2012.a.10858 ; m12/.11807","","English","",""
"Advertising in literature","general term","009902876","Monograph","Language material ; Text","Volume","","","9780813016320","Leonard, Garry M.","1956-","person","","Leonard, Garry M., 1956- [person]","Advertising and commodity culture in Joyce","","The Florida James Joyce series","","United States of America","Gainesville","Florida ; University Press","1998","","xii, 252 pages, 24 cm","823.912","99/11905 ; YC.1999.b.2100","","English","",""
"Advertising in literature","general term","018737568","Monograph","Language material ; Text","Volume","","","9789004359048","","","","","Alonso, Sabrina, editor [person] ; Mecsnóber, Tekla, editor [person] ; Brockman, William S., editor [person]","Publishing in Joyce's Ulysses : newspapers, advertising and printing","","European Joyce studies","volume 26 [European Joyce studies]","Netherlands","Boston ; Leiden","Brill Rodopi","2018","","xiv, 232 pages, illustrations (chiefly colour), colour map, 24 cm","823.912","YD.2018.a.960","","English","Additional physical form: Online version. Publishing in Joyce's Ulysses. Leiden ; Boston : Brill, [2018]. 9789004359062",""
"Advertising--Ireland--History--20th century","general term","009902876","Monograph","Language material ; Text","Volume","","","9780813016320","Leonard, Garry M.","1956-","person","","Leonard, Garry M., 1956- [person]","Advertising and commodity culture in Joyce","","The Florida James Joyce series","","United States of America","Gainesville","Florida ; University Press","1998","","xii, 252 pages, 24 cm","823.912","99/11905 ; YC.1999.b.2100","","English","",""
"Aesop's fables--Adaptations","title","016697903","Monograph","Language material ; Still image ; Text","Volume","GBB444524","","9781843516279","Joyce, James","1882-1941","person","author","McNally, Thomas, illustrator [person] ; Joyce, James, 1882-1941, author [person] ; Joyce, James, 1882-1941 [person]","The ondt and the gracehoper","Finnegans wake ; Work in progress. Selections","","","Ireland","Dublin","Lilliput Press","2014","","136 pages, colour illustrations, 25 cm","823.912","YC.2016.a.7179","Adaptation ; Fable or legend","English","''The ondt and the gracehoper' ... is presented in part III, Chapter I of his last great work, Finnegans Wake' -- cover ; 'James Joyce wrote the first draft of 'The Ondt and the Gracehoper' in a small pink notebook in or around February 1928 ... It first appeared in published form in transition number 12 (Paris, 21 March 1928) ... One year later (in April 1929) he extracted the fable from the main text of Work in Progress and ... sent it ... for separate publication as Tales Told of Shem and Shaun (Paris: The Black Sunday Press, August 1929) ' -- page 17",""
"Aestheticism (Literature)","general term","008106298","Monograph","Language material ; Text","Volume","GB8641559","","9780838750506","Harkness, Marguerite","1947-","person","","Harkness, Marguerite, 1947- [person]","The aesthetics of Dedalus and Bloom","","","","England","Lewisburg ; London ; Pennsylvania","Associated University Presses ; Bucknell University Press","1984","","212 pages, 25 cm","823.912","X.520/38752","","English","bibliography: p204-208. _ Includes index",""
"Aesthetics in literature","general term","015512579","Monograph","Language material ; Text","Volume","","","","Killmann, Hans-Joachim","1939-","person","","Killmann, Hans-Joachim, 1939- [person]","Die Darbietung der ästhetischen Theorie des Stephen Dedalus in James Joyce : A portrait of the artist as a young man und in Stephen hero","","","","Germany","Maintal bei Frankfurt am Main","H.J. Killmann","2010","2nd durchgesehene u. verbesserte Auflage","35 pages, 21 pages","","YF.2012.a.25631","","English ; German","Previous edition: 1966",""
"Aesthetics in literature","general term","015518580","Monograph","Language material ; Text","Volume","","","9781433105036","Majumdar, Gaurav","","person","","Majumdar, Gaurav [person]","Migrant form : anti-colonial aesthetics in Joyce, Rushdie and Ray","","Postcolonial studies","volume 4 [Postcolonial studies]","United States of America","New York","Peter Lang","2009","","x, 169 pages, 23 cm","820.93581","m10/.15345","","English","",""
"Aesthetics in literature","general term","016185884","Monograph","Language material ; Text","Volume","GBB2A1590","","9780199642502","Gibson, Andrew","1949-","person","","Gibson, Andrew, 1949- [person]","The strong spirit : history, politics and aesthetics in the writings of James Joyce 1898-1912","","","","England","Oxford","Oxford University Press","2013","","viii, 275 pages, 23 cm","823.912","YC.2013.a.5567 ; m13/.12741","","English","",""
"Aesthetics in literature","general term","017154323","Monograph","Language material ; Text","Volume","GBB545513","","9781137434760","Balinisteanu, Tudor","","person","author","Balinisteanu, Tudor, author [person]","Religion and aesthetic experience in Joyce and Yeats","","","","England","Basingstoke","Palgrave Macmillan","2015","","1 volume, 23 cm","821.009382","","","English","",""
"Aesthetics","general term","018909335","Monograph","Language material ; Text","Online resource","GBB8F3249","","9781137434777","Balinisteanu, Tudor","","person","author","Balinisteanu, Tudor, author [person]","Religion and aesthetic experience in Joyce and Yeats","","","","United States of America","New York","Palgrave Macmillan","2015","","1 online resource","821.8","ELD.DS.299636","","English","",""
"Aesthetics, German--18th century","general term","009259898","Monograph","Language material ; Text","Volume","","","9780791436271 ; 9780791436288","Verstraete, Ginette","1961-","person","","Verstraete, Ginette, 1961- [person]","Fragments of the feminine sublime in Friedrich Schlegel and James Joyce","","SUNY series on the sublime","","United States of America","Albany","State University of New York","1998","","xii, 280 pages, 24 cm","823.912","98/08904 ; YC.1998.a.4192","","English","",""
"Aesthetics, German--19th century","general term","012947756","Monograph","Language material ; Text","Volume","","","9780838640296","Laman, Barbara","1945-","person","","Laman, Barbara, 1945- [person]","James Joyce and German theory : 'the Romantic school and all that'","","","","United States of America","Madison, New Jersey","Fairleigh Dickinson University Press","2004","","174 pages, 25 cm","823.912","YC.2006.a.3696 ; m04/26086","","English","",""
"Aesthetics, Medieval","general term","011714292","Monograph","Language material ; Text","Volume","","","9780299156206","Jaurretche, Colleen","","person","","Jaurretche, Colleen [person]","The sensual philosophy : Joyce and the aesthetics of mysticism","","","","United States of America","Madison","University of Wisconsin Press","1997","","xi, 156 pages, illustrations, 24 cm","823.912","98/09070","","English","bibliography: p145-151. - Includes index",""
"Aesthetics, Medieval, in literature","general term","009775470","Monograph","Language material ; Text","Volume","","","9780674006355","Eco, Umberto","","person","","Eco, Umberto [person]","The aesthetics of Chaosmos : the Middle Ages of James Joyce","","","","United States of America","Cambridge, Massachusetts","Harvard University","1989","","","823.912","91/22565","","English","",""
"Aesthetics, Modern--20th century","general term","008106298","Monograph","Language material ; Text","Volume","GB8641559","","9780838750506","Harkness, Marguerite","1947-","person","","Harkness, Marguerite, 1947- [person]","The aesthetics of Dedalus and Bloom","","","","England","Lewisburg ; London ; Pennsylvania","Associated University Presses ; Bucknell University Press","1984","","212 pages, 25 cm","823.912","X.520/38752","","English","bibliography: p204-208. _ Includes index",""
"Aesthetics, Modern--20th century","general term","009138062","Monograph","Language material ; Text","Volume","","","9780801843495","Aubert, Jacques","","person","","Aubert, Jacques [person]","The Aesthetics of James Joyce","","","","England","","Johns Hopkins University Press","1992","","","823.912","92/15781","","English","",""
"Aesthetics, Modern--20th century","general term","011714292","Monograph","Language material ; Text","Volume","","","9780299156206","Jaurretche, Colleen","","person","","Jaurretche, Colleen [person]","The sensual philosophy : Joyce and the aesthetics of mysticism","","","","United States of America","Madison","University of Wisconsin Press","1997","","xi, 156 pages, illustrations, 24 cm","823.912","98/09070","","English","bibliography: p145-151. - Includes index",""
"Aesthetics, Modern--20th century","general term","012000341","Monograph","Language material ; Text","Volume","GB9240966","","9780801843495","Aubert, Jacques","","person","","Aubert, Jacques [person]","The aesthetics of James Joyce","Introduction à l'esthétique de James Joyce. English","","","England ; United States of America","Baltimore ; London","Johns Hopkins University Press","1992","","x, 177 pages, 23 cm","823.912","YC.1993.a.1412","","English","",""
"Aesthetics, Modern--20th century","general term","012722753","Monograph","Language material ; Text","Volume","","","9783631442586","Pesch, Josef W.","1958-","person","author","Pesch, Josef W., 1958-, author [person]","Wilde, about Joyce : zur Umsetzung ästhetizistischer Kunsttheorie in der literarischen Praxis der Moderne","","Münsteraner Monographien zur englischen Literatur","Band 8 [Münsteraner Monographien zur englischen Literatur]","Germany ; United States of America","Frankfurt am Main ; New York","Lang","1992","","300 pages, illustrations, 22 cm","","5985.558500 ; YA.1993.a.4871","","German","Originally presented as the author's thesis (doctoral--Münster, 1991)",""
"Aesthetics, Modern--20th century","general term","012735253","Monograph","Language material ; Text","Volume","","","9789062032006","Sörensen, Dolf","","person","","Sörensen, Dolf [person]","James Joyce's aesthetic theory : its development and application","","","","Netherlands","Amsterdam","Rodopi","1977","","2, 96 pages, 23 cm","823.912","X:519/29976","","English","",""
"Aesthetics, Modern--20th century","general term","012947756","Monograph","Language material ; Text","Volume","","","9780838640296","Laman, Barbara","1945-","person","","Laman, Barbara, 1945- [person]","James Joyce and German theory : 'the Romantic school and all that'","","","","United States of America","Madison, New Jersey","Fairleigh Dickinson University Press","2004","","174 pages, 25 cm","823.912","YC.2006.a.3696 ; m04/26086","","English","",""
"Aesthetics--Religious aspects","general term","012694851","Monograph","Language material ; Text","Volume","GBA314015","","9781856073479","Hederman, Mark Patrick","","person","","Hederman, Mark Patrick [person]","The haunted inkwell : art and our future","","","","Ireland","Dublin","Columba Press","2001","","231 pages, 22 cm","820.994170904","YC.2003.a.10971 ; m03/42792","","English","",""
"Aesthetics--Religious aspects","general term","018909335","Monograph","Language material ; Text","Online resource","GBB8F3249","","9781137434777","Balinisteanu, Tudor","","person","author","Balinisteanu, Tudor, author [person]","Religion and aesthetic experience in Joyce and Yeats","","","","United States of America","New York","Palgrave Macmillan","2015","","1 online resource","821.8","ELD.DS.299636","","English","",""
"African Americans in literature","general term","007760001","Monograph","Language material ; Text","Volume","","","9780819126306 ; 9780819126313","List, Robert N.","","person","","List, Robert N. [person]","Dedalus in Harlem : the Joyce-Ellison connection","","","","United States of America","Washington, District of Columbia","America ; University Press","1982","","","818.5409","83/00443","","English","",""
"Alchemy in literature","general term","011378055","Monograph","Language material ; Text","Volume","","","9780873953887","DiBernard, Barbara","1948-","person","","DiBernard, Barbara, 1948- [person]","Alchemy and Finnegans Wake","","","","United States of America","Albany","State University of New York","1980","","xiii, 163 pages, 24 cm","823.912","X.950/25491","","English","",""
"Alchemy--to date","general term","011378055","Monograph","Language material ; Text","Volume","","","9780873953887","DiBernard, Barbara","1948-","person","","DiBernard, Barbara, 1948- [person]","Alchemy and Finnegans Wake","","","","United States of America","Albany","State University of New York","1980","","xiii, 163 pages, 24 cm","823.912","X.950/25491","","English","",""
"Alcoholics in literature","general term","007818197","Monograph","Language material ; Text","Volume","","","9780312217099","Lilienfeld, Jane","1945-","person","author","Lilienfeld, Jane, 1945-, author [person]","Reading alcoholisms : theorizing character and narrative in selected novels of Thomas Hardy, James Joyce, and Virginia Woolf","","","","United States of America","New York","St Martin's","1999","","xii, 292 pages, 22 cm","823.809355","m02/43197","","English","",""
"Alcoholism in literature","general term","007818197","Monograph","Language material ; Text","Volume","","","9780312217099","Lilienfeld, Jane","1945-","person","author","Lilienfeld, Jane, 1945-, author [person]","Reading alcoholisms : theorizing character and narrative in selected novels of Thomas Hardy, James Joyce, and Virginia Woolf","","","","United States of America","New York","St Martin's","1999","","xii, 292 pages, 22 cm","823.809355","m02/43197","","English","",""
"Alcoholism in literature","general term","010343567","Monograph","Language material ; Text","Volume","GB99Y2389","","9780333765111","Lilienfeld, Jane","","person","","Lilienfeld, Jane [person]","Reading alcoholisms : theorizing character and narrative in selected novels of Hardy, Joyce and Woolf","","","","England","Basingstoke","Macmillan","1999","","256 pages, 22 cm","823.009353","","","English","",""
"Alienation (Social psychology)--Drama","general term","017709978","Monograph","Language material ; Text","Volume","GBB609650","","9780813061658","Joyce, James","1882-1941","person","author","Knowles, Sebastian D. G. (Sebastian David Guy), author [person] ; Joyce, James, 1882-1941, author [person] ; Fargnoli, A. Nicholas, editor [person] ; Gillespie, Michael Patrick, editor [person]","Exiles : a critical edition","","The Florida James Joyce series","","United States of America","Gainesville","Florida ; University Press","2016","","x, 348 pages, 24 cm","822.912","YC.2017.a.5950","Drama","English","",""
"Alienation (Social psychology)--Drama","general term","018911864","Monograph","Language material ; Text","Online resource","GBB8E3476","","9781786825605","Bolger, Dermot","1959-","person","adaptor","Bolger, Dermot, 1959-, adaptor [person] ; Joyce, James, 1882-1941 [person]","Ulysses","","Oberon modern plays","","England ; United Kingdom","London","Oberon","2018","","1 online resource (96 pages)","822.914","ELD.DS.301468","Drama","English","",""
"Alienation (Social psychology)--Fiction","general term","009060154","Monograph","Language material ; Text","Volume","GBA3Z6659","","9780764538148","Kopper, Edward A.","","person","","Kopper, Edward A. [person] ; Joyce, James, 1882-1941 [person] ; Cliffs Notes, Inc [organisation]","Ulysses : notes","Cliffs Notes on Joyce's Ulysses ; CliffsNotes on Joyce's Ulysses ; Ulysses","","","United Kingdom ; United States of America","New York","Wiley","2003","","125 pages, 21 cm","823.912","YK.2004.a.11237","Fiction ; Study guide","English","",""
"Alienation (Social psychology)--Fiction","general term","009535576","Monograph","Language material ; Text","Volume","GB9420269","","9780370307374 ; 9780370319049","Joyce, James","1882-1941","person","","Joyce, James, 1882-1941 [person] ; Gabler, Hans Walter [person] ; Melchior, Claus [person] ; Steppe, Wolfhard [person]","Ulysses","","","","England","London","Bodley Head","1993","","ix, 657 pages, 24 cm","823.912","823.912 ; YK.1995.b.1093","Fiction","English","reprinted of 2nd unlimited edition",""
"Alienation (Social psychology)--Fiction","general term","010947062","Monograph","Language material ; Text","Volume","GB6910238","","9780140030006","Joyce, James","1882-1941","person","","Joyce, James, 1882-1941 [person]","Ulysses","","Penguin modern classics","","England","Harmondsworth","Penguin","1969","New edition reprinted, with, 'Ulysses, a short history,' by Richard Ellman","720 pages, 20 cm","823.91","","Domestic fiction ; Fiction","English","Originally published, Paris: Shakespeare, 1922",""
"Alienation (Social psychology)--Fiction","general term","011328470","Monograph","Language material ; Text","Volume","GB8646419","","9780370307374","Joyce, James","1882-1941","person","","Joyce, James, 1882-1941 [person] ; Gabler, Hans Walter [person] ; Melchior, Claus [person] ; Steppe, Wolfhard [person]","Ulysses : the corrected text","","","","England","London","Bodley Head","1986","","649 pages, 26 cm","823.912","YC.1987.b.6793","Domestic fiction ; Fiction","English","",""
"Alienation (Social psychology)--Fiction","general term","013031489","Monograph","Language material ; Text","Volume","GBA530098","","9780954771003","Joyce, James","1882-1941","person","","Rose, Danis [person] ; Joyce, James, 1882-1941 [person]","Ulysses : James Joyce ; edited by Danis Rose","","","","England","Mousehole","Houyhnhnm","2004","New reader's edition","lxxxxiii, 769 pages, 21 cm","823.912","H.2005/793","Fiction","English","",""
"Allegory","general term","009823120","Monograph","Language material ; Text","Volume","","","9781570033834","Sicari, Stephen","","person","","Sicari, Stephen [person]","Joyce's modernist allegory : Ulysses and the history of the novel","","","","United States of America","Columbia, South Carolina","University of South Carolina Press","2000","","","823.912","m01/23601","","English","",""
"Allusions in literature","general term","009265050","Monograph","Language material ; Text","Volume","","","9780813016108","Knowlton, Eloise","","person","","Knowlton, Eloise [person]","Joyce, Joyceans, and the rhetoric of citation","","The Florida James Joyce series","","United States of America","Gainesville, Florida","Florida ; University Press","1998","","135 pages, facsimiles, 24 cm","823.912","98/27681 ; YC.1998.b.7285","","English","",""
"Allusions in literature","general term","011212854","Monograph","Language material ; Text","Volume","","","9788300008087","Paszek, Jerzy","","person","","Paszek, Jerzy [person]","Sztuka aluzji literackiej : Żeromski, Berent, Joyce","","Prace naukowe Uniwersytetu Śla̢skiego w Katowicach","number 641 [Prace naukowe Uniwersytetu Śla̢skiego w Katowicach]","Poland","Katowice","Uniwersytet Śla̢ski","1984","","172 pages, 24 cm","","YA.1991.b.5443","","English ; Polish ; Russian","Summary in English and Russian",""
"Ambiguity in literature","general term","013808644","Monograph","Language material ; Text","Volume","","","9788373951976","Gornat, Tomasz","","person","","Gornat, Tomasz [person]","'A chemistry of stars' : epiphany, openness and ambiguity in the works of James Joyce","","Studia i monografie / Uniwersytet Opolski","number 376 [Studia i monografie / Uniwersytet Opolski]","Poland","Opole","Uniwersytetu Opolskiego","2006","","233 pages, 24 cm","","YF.2008.a.1767","","English ; Polish","",""
"American fiction--20th century--History and criticism","general term","008049519","Monograph","Language material ; Text","Volume","GB8318812","","9780252009310","Werner, Craig Hansen","1952-","person","","Werner, Craig Hansen, 1952- [person]","Paradoxical resolutions : American fiction since James Joyce","","","","England ; United States of America","London ; Urbana","University of Illinois Press","1982","","x, 237 pages, 24 cm","813.5209","83/04264 ; X.950/19914","","English","bibliography: p217-225. _ Includes index",""
"American fiction--20th century--History and criticism","general term","012617689","Monograph","Language material ; Text","Volume","GBA300060","","9780415936910","Daniels, Patsy J.","1944-","person","","Daniels, Patsy J., 1944- [person]","The voice of the oppressed in the language of the oppressor : a discussion of selected postcolonial literature from Ireland, Africa, and America","","Literary criticism and cultural theory","","England ; United States of America","London ; New York","Routledge","2001","","ix, 190 pages, 24 cm","810.9920693","YC.2002.a.22304","","English","",""
"American fiction--20th century--History and criticism","general term","015583566","Monograph","Language material ; Text","Volume","GBB075416","","9780521681094 ; 9780521862561","Ellmann, Maud","1954-","person","author","Ellmann, Maud, 1954-, author [person]","The nets of modernism : Henry James, Virginia Woolf, James Joyce, and Sigmund Freud","","","","England","Cambridge","Cambridge University Press","2010","","xi, 238 pages, 23 cm","823.9109112","YK.2010.a.31091","","English","",""
"American fiction--20th century--History and criticism--Theory, etc","general term","006491825","Monograph","Language material ; Text","Volume","","","9780252025136 ; 9780252068676","Eberly, Rosa A.","","person","","Eberly, Rosa A. [person]","Citizen critics : literary public spheres","","","","United States of America","Urbana","University of Illinois Press","2000","","","813.50901","m00/21313","","English","",""
"American fiction--Irish influences","general term","007760001","Monograph","Language material ; Text","Volume","","","9780819126306 ; 9780819126313","List, Robert N.","","person","","List, Robert N. [person]","Dedalus in Harlem : the Joyce-Ellison connection","","","","United States of America","Washington, District of Columbia","America ; University Press","1982","","","818.5409","83/00443","","English","",""
"American fiction--Minority authors--History and criticism","general term","012617689","Monograph","Language material ; Text","Volume","GBA300060","","9780415936910","Daniels, Patsy J.","1944-","person","","Daniels, Patsy J., 1944- [person]","The voice of the oppressed in the language of the oppressor : a discussion of selected postcolonial literature from Ireland, Africa, and America","","Literary criticism and cultural theory","","England ; United States of America","London ; New York","Routledge","2001","","ix, 190 pages, 24 cm","810.9920693","YC.2002.a.22304","","English","",""
"American fiction--Women authors--History and criticism","general term","012617689","Monograph","Language material ; Text","Volume","GBA300060","","9780415936910","Daniels, Patsy J.","1944-","person","","Daniels, Patsy J., 1944- [person]","The voice of the oppressed in the language of the oppressor : a discussion of selected postcolonial literature from Ireland, Africa, and America","","Literary criticism and cultural theory","","England ; United States of America","London ; New York","Routledge","2001","","ix, 190 pages, 24 cm","810.9920693","YC.2002.a.22304","","English","",""
"American graphic arts--1945 to date","general term","010007145","Monograph","Language material ; Text","Volume","","","","Drachler, Jacob","","person","","Drachler, Jacob [person]","Id-grids and ego-graphs : a confabulation with Finnegans Wake","","","","United States of America","Brooklyn","Gridgraffiti Press","1978","","44 leaves, chiefly illustrations","769.924","L.45/3595","","English","",""
"American literature--20th century--History and criticism","general term","007126457","Monograph","Language material ; Text","Volume","","","9780195127201","North, Michael","1951-","person","","North, Michael, 1951- [person]","Reading 1922 : a return to the scene of the modern","","","","United States of America","New York","Oxford University Press","1999","","","820.9112","m00/10432","","English","",""
"American literature--20th century--History and criticism","general term","008750549","Monograph","Language material ; Text","Volume","GB9495674","","9780520085831 ; 9780520087552","Perelman, Bob","","person","","Perelman, Bob [person]","The trouble with genius : reading Pound, Joyce, Stein, and Zukofsky","","","","England","Berkeley ; London","University of California Press","1994","","xi, 263 pages, 24 cm","810.90052","95/14100 ; YC.1994.b.6995","","English","",""
"American literature--20th century--History and criticism","general term","009413886","Monograph","Language material ; Text","Volume","GBA117206","","9780521661546","Bornstein, George","","person","","Bornstein, George [person]","Material modernism : the politics of the page","","","","England","Cambridge","Cambridge University Press","2001","","xii, 185 pages, 25 cm","809.9112","2708.h.922","","English","",""
"American literature--20th century--History and criticism","general term","012591137","Monograph","Language material ; Text","Volume","GBA005598","","9780195127201","North, Michael","1951-","person","","North, Michael, 1951- [person]","Reading 1922 : a return to the scene of the modern","","","","England ; United States of America","New York ; Oxford","Oxford University Press","1999","","vii, 269 pages, illustrations, portraits, 25 cm","820.9112","YC.2000.a.855","","English","Includes index",""
"American literature--20th century--History and criticism","general term","012667591","Monograph","Language material ; Text","Volume","GBA352225","","9780813919799 ; 9780813919805","Rado, Lisa","","person","author","Rado, Lisa, author [person]","The modern androgyne imagination : a failed sublime","","","","England","Charlottesville, Virginia ; London","University Press ; Virginia","2000","","x, 220 pages, 24 cm","823.9109353","YC.2003.a.11595 ; m01/10049","","English","",""
"American literature--20th century--History and criticism","general term","012879115","Monograph","Language material ; Text","Volume","GBA4X1927","","9780312235536","Culleton, Claire A.","","person","","Culleton, Claire A. [person]","Joyce and the G-men : J. Edgar Hoover's manipulation of modernism","","","","England ; United States of America","Basingstoke","Palgrave Macmillan","2004","","232 pages, 24 cm","810.9112","YC.2006.a.2713 ; m04/29889","","English","",""
"American literature--20th century--History and criticism","general term","015505299","Monograph","Language material ; Text","Volume","GBB036992","","9780521155083","Bucknell, Brad","","person","","Bucknell, Brad [person]","Literary modernism and musical aesthetics : Pater, Pound, Joyce, and Stein","","","","England","Cambridge","Cambridge University Press","2010","","1 volume, 23 cm","780.08","","","English","",""
"American literature--20th century--History and criticism","general term","015796845","Monograph","Language material ; Text","Volume","","","9781570039560","Sicari, Stephen","","person","","Sicari, Stephen [person]","Modernist humanism and the men of 1914 : Joyce, Lewis, Pound, and Eliot","","","","United States of America","Columbia, South Carolina","University of South Carolina Press","2011","","xiv, 224 pages, 24 cm","820.9112","m11/.15360","","English","",""
"American literature--20th century--History and criticism","general term","018838121","Monograph","Language material ; Still image ; Text","Volume","GBB872576","","9783319718170","Cheng, Vincent John","1951-","person","author","Cheng, Vincent John, 1951-, author [person]","Amnesia and the nation : history, forgetting, and James Joyce","","New directions in Irish and Irish American literature","","England","Basingstoke, Hampshire","Palgrave Macmillan","2018","","1 volume, black and white illustrations, 21 cm","823.912","","","English","",""
"American literature--Foreign influences","general term","012879115","Monograph","Language material ; Text","Volume","GBA4X1927","","9780312235536","Culleton, Claire A.","","person","","Culleton, Claire A. [person]","Joyce and the G-men : J. Edgar Hoover's manipulation of modernism","","","","England ; United States of America","Basingstoke","Palgrave Macmillan","2004","","232 pages, 24 cm","810.9112","YC.2006.a.2713 ; m04/29889","","English","",""
"American literature--Irish influences","general term","014772701","Monograph","Language material ; Text","Volume","GBA8B7505","","9780813032856","Lowe-Evans, Mary","","person","","Lowe-Evans, Mary [person]","Catholic nostalgia in Joyce and company","","The Florida James Joyce series","","England ; United States of America","Gainesville ; London","Eurospan ; Florida ; University Press","2008","","viii, 190 pages, 25 cm","823.912","m08/.32697","","English","The papal bulls enlist the dumb ox -- Dogsbody 'Marys' his mother -- The sermon on the seven storey mount -- The Maiden and the monstrance -- (Mary) Flannery underwrites James (Augusta)",""
"American poetry--20th century--History and criticism","general term","009392536","Monograph","Language material ; Text","Volume","GB9924639","","9780300070507","Rainey, Lawrence S.","","person","","Rainey, Lawrence S. [person]","Institutions of modernism : literary elites and public culture","","Henry Mcbride series in modernism and modernity","","England","London ; New Haven, Connecticut","Yale University Press","1998","","x, 227 pages, illustrations, facsimiles, portraits, 25 cm","811.5209112","YC.1999.b.2311","","English","",""
"American poetry--20th century--History and criticism","general term","012369264","Monograph","Language material ; Text","Volume","","","9780300070507","Rainey, Lawrence S.","","person","","Rainey, Lawrence S. [person]","Institutions of modernism : literary elites and public culture","","","","United States of America","New Haven, Connecticut","Yale University Press","1998","","","811.5209112","99/20607","","English","",""
